id|Department|Category|SubCategory|active|createDate|country
1|Industrial & Scientific|3D Printes|N/A|0|11/06/2019|United States
2|Industrial & Scientific|3D Printes Supplies|3D Printing Filament|1|12/06/2019|United States
3|Industrial & Scientific|3D Printes Supplies|3D Printing Luquid|0|13/06/2019|United States
4|Industrial & Scientific|3D Printer Parts & Accesories|3D Printer Extruders|1|14/06/2019|United States
5|Industrial & Scientific|3D Printer Parts & Accesories|3D Printer Platforms|1|15/06/2019|United States
6|Industrial & Scientific|3D Printer Parts & Accesories|3D Printer Motors|1|16/06/2019|United States
7|Industrial & Scientific|3D Printer Parts & Accesories|3D Printer Interface & Driver modules|1|17/06/2019|United States
8|Industrial & Scientific|3D Printer Parts & Accesories|3D Printer Controllers|0|18/06/2019|United States
9|Industrial & Scientific|3D Printer Parts & Accesories|3D Printer Accesories|1|19/06/2019|United States
10|Industrial & Scientific|3D Scanners|N/A|1|20/06/2019|United States
